Sub-question 1.1 (Current situation),,,,,,,,,,,,,,,,,,,,,,,
"What are the atomic concepts, defined as minimal and independent, that constitute the foundations of a programming paradigm, and how can they be formalised mathematically within a coherent framework to ensure their non-contradiction and orthogonality?",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Title,Authors,DOI,DOI link,Venue,Citation count,Year,Classification Framework,Framework Assessment Rationale,Theoretical Focus,Theoretical Focus Rationale,Academic Rigor,Academic Rigor Assessment,Classification Contribution,Contribution Assessment Rationale,Systematic Analysis,Systematic Analysis Rationale,Full-Text Accessibility,Accessibility Assessment,Publication Language,Language Assessment,Screening judgement,Final Screening Rationale,Screening score
Semantics-Driven Genericity : A Sequel to the Static C + + Object-Oriented Programming Paradigm ( SCOOP 2 ),"T. Géraud, Roland Levillain",-,-,-,11,2008,no,"The paper does not present a classification system or taxonomy for programming languages. Instead, it focuses on a specific implementation approach for generic programming in C++.",no,"While the paper has theoretical elements, its primary focus is on implementation details and specific language features (C++ genericity) rather than theoretical aspects of language classification.",yes,"The paper appears to be a formal academic work, presenting a novel approach with theoretical foundations. The technical depth and systematic presentation suggest peer-reviewed academic work.",no,"The paper focuses on genericity and type systems in C++, but does not directly contribute to programming language classification systems. While it discusses type concepts and properties, these are specific to C++ implementation rather than language classification.",maybe,"The paper appears to employ formal analysis methods, discussing theoretical aspects of type systems and generic programming. However, this analysis is focused on implementation rather than classification.",maybe,"The abstract does not provide direct information about the accessibility of the full text, but given that this appears to be an academic paper about C++ programming, it is likely available through academic channels, though this cannot be confirmed without more information.",yes,"The abstract is written in English, meeting this criterion.",Exclude,"The paper presents a technical exploration of C++ generic programming, but does not directly contribute to programming language classification systems or frameworks. While academically rigorous and theoretically grounded, the work focuses on implementation details of type systems rather than systematic language classification approaches. Consequently, the paper does not meet the core screening criteria related to classification contribution and theoretical frameworks.",2.7
Method of Paradigmatic Analysis of Programming Languages and Systems,L. Gorodnyaya,10.20948/abrau-2019-03,https://doi.org/10.20948/abrau-2019-03,Conference on Scientific Services & Internet,4,2019,yes,"The abstract indicates the paper presents a formal classification approach, mentioning ""objective criteria"" and a method for ""factorization of very complicated definitions."" It discusses classification of paradigms based on specific characteristics.",yes,"The paper strongly meets this criterion, focusing on theoretical aspects of language classification, paradigms, and semantic characteristics rather than implementation details.",maybe,"While the paper was presented at a conference and appears to be academic in nature, the abstract's tone and structure raise some concerns about the level of rigor. The acknowledgment section seems unusual for a formal academic paper.",yes,"The paper strongly meets this criterion, as it explicitly focuses on ""comparison of programming languages"" and presents a method for assessing ""expressive power of languages."" It also discusses classification of paradigms based on problem statements and semantic characteristics.",maybe,"The paper appears to employ systematic analysis methods, mentioning ""objective criteria"" and a formal method for comparison. However, the level of formality isn't completely clear from the abstract.",maybe,"The abstract mentions a conference website, but does not explicitly indicate full-text availability, creating some uncertainty about whether the full text is accessible for review.",yes,"The abstract is written in English, meeting this criterion.",Include,"The study presents a systematic approach to programming language classification, focusing on theoretical frameworks for comparing language paradigms and their semantic characteristics. While demonstrating strong alignment with most screening criteria, particularly in theoretical contribution and classification methodology, some uncertainties exist regarding full-text accessibility and academic rigor. The research appears to offer a novel method for understanding programming language complexity and expressive power through objective comparative analysis.",4.3
Constraint programming and database languages: a tutorial,P. Kanellakis,10.1145/212433.212447,https://doi.org/10.1145/212433.212447,ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems,30,1995,no,"While the paper discusses different programming paradigms (deductive, object-oriented, constraint-based), it does not present a formal classification system for programming languages. Instead, it focuses on the development of constraint programming for database applications.",maybe,"The paper does have a theoretical focus, examining the foundations of constraint programming and its relationship to different programming paradigms. However, this theoretical focus is not on language classification.",no,"The abstract indicates this is a tutorial paper, which explicitly fails this criterion as it is not a peer-reviewed research paper.",no,"The paper focuses on constraint query languages and their relationship to programming paradigms, but does not appear to contribute directly to programming language classification systems. It is more about a specific programming paradigm than classification frameworks.",maybe,"The paper appears to employ systematic analysis, examining ""expressive power for various classes of constraints"" and surveying features across different programming paradigms. However, this analysis is not focused on language classification.",maybe,"The abstract does not provide direct information about the accessibility of the full text, so this would need to be verified separately.",yes,"The abstract is written in English, meeting this criterion.",Exclude,"The tutorial paper on constraint query languages fails to meet key screening criteria, particularly the requirement for a peer-reviewed academic work focused on programming language classification systems. While theoretically rich and written in English, the document does not present a formal classification framework or contribute directly to understanding programming language taxonomies. Its tutorial nature and specific focus on constraint programming disqualify it from the systematic review's requirements.",2.5
A Comparative Study of Code Query Technologies,"Tiago L. Alves, Jurriaan Hage, P. Rademaker",10.1109/SCAM.2011.14,https://doi.org/10.1109/SCAM.2011.14,2011 IEEE 11th International Working Conference on Source Code Analysis and Manipulation,12,2011,no,"The paper presents a comparative framework for analyzing code query technologies, but not for classifying programming languages themselves.",maybe,"While the paper has theoretical elements in its analysis framework, it focuses more on practical aspects of code query technologies rather than theoretical aspects of language classification.",yes,"The paper appears to be a rigorous academic work with a structured comparative analysis, likely peer-reviewed given its technical nature and systematic approach.",no,"The paper focuses on comparing code query technologies rather than programming language classification systems. While it deals with programming languages, it's not primarily about their classification.",maybe,"The paper employs systematic analysis methods, comparing seven technologies across twelve specific criteria in a structured way. While this shows systematic analysis, it's not applied to programming language classification.",maybe,"The abstract does not provide direct information about the full-text accessibility of the paper, so this would need to be verified separately.",yes,"The abstract is in English, suggesting the paper is likely written in English, meeting this criterion.",Exclude,"The study focuses on code query technologies rather than programming language classification systems, failing to meet key screening criteria related to classification frameworks and theoretical contributions. While methodologically rigorous and systematic in its comparative analysis, the paper does not align with the specific requirements for programming language classification research. Consequently, the work does not qualify for inclusion in the systematic review.",2.7
Teaching programming languages in a post-linnaean age,S. Krishnamurthi,10.1145/1480828.1480846,https://doi.org/10.1145/1480828.1480846,SIGP,48,2008,no,"The abstract suggests the paper critiques existing paradigms rather than presenting or analyzing formal classification systems, so it does not appear to meet this criterion.",no,"The paper appears to focus on educational aspects rather than theoretical classification, so it does not meet this criterion.",maybe,"While the paper appears to be an academic work, the abstract's tone (""moribund and tedious"") suggests it might be more of an opinion piece, creating uncertainty about whether it meets this criterion.",maybe,"The paper discusses programming language paradigms and their role in education, which is related to classification, but it appears to focus more on pedagogical aspects rather than contributing to classification systems themselves. Therefore, it only partially meets this criterion.",no,"The abstract suggests an argumentative approach rather than systematic analysis, and the paper appears to be more opinion-based and pedagogical, so it does not meet this criterion.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, which created some uncertainty in the evaluation.",yes,"The abstract is written in English, so the paper meets the publication language criterion.",Exclude,"The abstract suggests a pedagogical critique of programming language paradigms that lacks systematic analysis and theoretical depth, falling short of rigorous classification research criteria. While written in English, the text appears more focused on educational arguments than contributing substantive insights into programming language classification frameworks or theoretical foundations.",2.7
Operational versus definitional: a perspective on programming paradigms,"A. Ambler, M. Burnett, B. A. Zimmerman",10.1109/2.156380,https://doi.org/10.1109/2.156380,Computer,70,1992,yes,"The paper explicitly presents a classification system for programming paradigms, describing three main approaches (operational, demonstrational, definitional) and placing them on a continuum, which strongly meets the classification framework criterion.",yes,"The paper is strongly focused on theoretical aspects of programming paradigms, discussing fundamental approaches to problem-solving and using sorting as an example rather than focusing on implementation, which strongly meets the theoretical focus criterion.",maybe,"The abstract suggests an academic analysis, and the systematic approach and theoretical focus indicate academic rigor, but the peer-review status cannot be confirmed from the abstract alone, which partially meets the academic rigor criterion.",yes,"The paper discusses programming paradigms and their classification, presenting a framework for grouping paradigms based on problem-solving approaches, which strongly meets the classification contribution criterion.",yes,"The paper appears to use systematic analysis in categorizing paradigms, presenting a structured approach to classification and using concrete examples (sorting) to illustrate each paradigm, which meets the systematic analysis criterion.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, which created some uncertainty in the evaluation.",yes,"The abstract is written in English, which meets the publication language criterion.",Include,"A systematic theoretical exploration of programming paradigms, presenting a structured classification framework that categorizes problem-solving approaches across operational, demonstrational, and definitional dimensions. The study demonstrates strong academic rigor through its methodical analysis of programming language classification, with a clear focus on theoretical foundations rather than implementation details. While some uncertainties exist regarding full-text accessibility and peer-review status, the abstract suggests a comprehensive and scholarly examination of programming language classification systems.",4.6
What is a Secure Programming Language?,"C. Cifuentes, G. Bierman",10.4230/LIPIcs.SNAPL.2019.3,https://doi.org/10.4230/LIPIcs.SNAPL.2019.3,Summit on Advances in Programming Languages,5,2019,maybe,"The paper presents a framework for categorizing programming languages based on their security features, identifying three broad categories of vulnerabilities. However, this framework is specifically focused on security rather than general language classification.",maybe,"The paper has a strong theoretical focus, proposing a data-driven definition of secure programming languages and analyzing theoretical aspects of language design. However, it's specifically focused on security rather than general language classification theory.",maybe,"While the abstract suggests this is a research paper with formal analysis, the peer-review status cannot be definitively confirmed from the abstract alone.",maybe,"The paper makes a significant contribution to understanding programming language classification, but from a security perspective rather than a general classification system. It proposes a novel categorization of software defects and analyzes how different languages address security vulnerabilities.",yes,"The study employs systematic analysis methods, including analysis of the National Vulnerability Database, development of a novel categorization system, and quantitative assessment (finding that the categories account for over 50% of vulnerabilities).",maybe,"The abstract does not provide direct information about the accessibility of the full text, so this would need to be verified separately.",yes,"The abstract is written in English, meeting this criterion.",Exclude,"The study presents a systematic analysis of programming language security through a novel categorization framework, employing rigorous data-driven methods to examine software vulnerabilities. While meeting several screening criteria like publication language and systematic analysis, the paper's narrow focus on security-specific classification may limit its direct applicability to broader programming language classification research. The work demonstrates academic rigor in proposing a theoretical approach to understanding language security, but its specialized perspective suggests potential limitations for comprehensive language classification studies.",3.5
The New Grammar Formalisms - A Tutorial Survey (Abstract),G. Gazdar,-,-,International Joint Conference on Artificial Intelligence,1,1987,no,"The paper does present and analyze formal classification systems, but again for linguistic grammars rather than programming languages. While it discusses formal frameworks and taxonomies, they are not specific to programming languages.",yes,"The paper has a strong theoretical focus, discussing formal properties and theoretical foundations of grammar formalisms rather than implementation details.",yes,"The paper appears to be an academic work, likely peer-reviewed given its analytical approach and historical context discussion. It is not a tutorial or opinion piece.",no,"The paper discusses grammar formalisms and their classification, but focuses more on linguistic grammar systems rather than programming language classification. While there are some parallels, it does not directly contribute to programming language classification systems.",yes,"The paper appears to employ systematic analysis, discussing formal properties and characteristics of grammar formalisms in a structured way. It mentions specific criteria (i-v) for analyzing these systems.",maybe,"The abstract does not provide direct information about the full-text accessibility of the paper. However, given that the paper appears to be an academic publication, there is a reasonable chance it is accessible through academic channels.",yes,"The paper is clearly written in English, meeting this criterion.",Exclude,"The document presents a scholarly analysis of linguistic grammar formalisms, demonstrating strong academic rigor and theoretical depth, but fundamentally diverges from programming language classification systems. While methodologically sound and systematically structured, the text's focus on linguistic grammars rather than programming language taxonomies renders it non-compliant with the core screening requirements. The work's theoretical sophistication cannot compensate for its misalignment with the specific research domain of interest.",2.7
Introduction to Programming Languages,Arvind K. Bansal,10.1201/b16258,https://doi.org/10.1201/b16258,-,17,2013,no,"The abstract mentions discussing ""common features of programming languages at an abstract level"" and ""programming paradigms,"" but doesn't indicate a formal classification system or taxonomy. It appears to be more descriptive and educational in nature.",maybe,"The book does cover theoretical aspects of programming languages, but its primary focus appears to be educational and practical rather than theoretical classification or analysis.",no,"While this is an academic text, it appears to be a textbook rather than a peer-reviewed research paper. It's designed for undergraduate education rather than presenting original research or analysis.",no,"While the book discusses programming language concepts and paradigms, it appears to focus more on teaching and explaining these concepts rather than contributing to classification systems or theoretical foundations of classification. The approach seems more pedagogical than analytical.",no,"The book seems to take a structured approach to explaining programming concepts, but doesn't appear to employ formal analysis methods. It's more focused on teaching and explaining concepts rather than analyzing them systematically.",maybe,"The abstract appears to be from a book rather than a research paper, which makes full-text accessibility less certain. While books are typically accessible, this creates some uncertainty about meeting this criterion.",yes,"The abstract is in English, meeting this criterion.",Exclude,"The text appears to be a textbook focused on teaching programming language concepts rather than a research paper analyzing classification systems. While written in English and covering theoretical aspects of programming languages, it lacks the systematic analysis, formal classification frameworks, and academic rigor required by the screening criteria. The work is primarily an educational resource designed for undergraduate instruction, not a scholarly contribution to programming language classification theory.",2.5
A SEMANTIC APPROACH TO FAIRNESS,"J. J. M. M. Rutten, J. Zucker, Martin Leischner",-,-,-,0,2021,no,"I indicated that none of the abstracts presented appear to focus on formal classification systems or taxonomies for programming languages, and that the content seems to cover various topics in programming language semantics, modal logic, and process theory, but not language classification.",no,"I indicated that while the papers are theoretical in nature, they do not focus on language classification theory, and instead cover topics like process theory, modal logic, and programming language semantics.",yes,"I stated that the abstracts appear to be from academic papers with formal mathematical and theoretical content, suggesting peer-reviewed academic work.",no,"I stated that the abstract appears to be a collection of multiple abstracts rather than a single coherent paper, and that while some sections discuss programming languages and their semantics, there is no clear focus on programming language classification systems.",no,"I noted that while the papers discussed employ formal and systematic analysis methods, these are not applied to language classification.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, and stated that this would need to be verified separately.",yes,"I noted that the abstract is in English, suggesting the paper is also in English.",Exclude,"The collection of abstracts fails to meet the screening criteria for programming language classification systems, lacking a focused approach to language taxonomy or systematic classification frameworks. While demonstrating academic rigor and theoretical depth across multiple domains, the content does not align with the specific requirements of analyzing programming language classification methodologies. Consequently, the text would not provide meaningful insights for a systematic review of language classification systems.",1.4
