Sub-question 1.2 (Contribution),,,,,,,,,,,,,,,,,,,,,,,,,,,
"How can we define a set of conceptual primitives that enable programming paradigms to be reconstructed in a minimal and orthogonal manner, and how can we formally guarantee these properties within a unified mathematical framework?",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Authors,DOI,DOI link,Venue,Citation count,Year,Fundamental Analysis,Fundamental Analysis Rationale,Formal Framework,Formal Framework Assessment,Paradigm Theory,Paradigm Theory Rationale,Language Design Principles,Design Principles Assessment,Theoretical Foundation,Theoretical Foundation Rationale,Implementation Focus,Implementation Focus Assessment,Theoretical Contribution,Contribution Assessment Rationale,Publication Language,Language Assessment,Full-Text Accessibility,Accessibility Assessment,Screening judgement,Final Screening Rationale,Screening score
"Concepts, Techniques, and Models of Computer Programming","P. V. Roy, Seif Haridi",-,-,-,477,2004,yes,The paper analyzes fundamental programming language constructs through its kernel language approach and abstract machine model.,yes,"The abstract explicitly mentions defining kernel languages ""precisely in terms of a simple abstract machine,"" indicating a formal mathematical framework.",yes,"The paper explicitly focuses on programming paradigms, their relationships, and comparative theoretical analysis across multiple paradigms.",yes,"The paper discusses fundamental design principles through its focus on ""kernel languages"" and their relationships, including orthogonality in how different paradigms are presented in a ""uniform framework.""",yes,The paper presents a theoretical foundation through its abstract machine model and systematic approach to programming paradigms.,yes,"While implementation aspects are mentioned (Mozart Programming System), they appear to support theoretical contributions rather than being the primary focus.",yes,"The paper appears to focus on theoretical understanding, presenting programming as a ""unified discipline"" and analyzing fundamental relationships between paradigms.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The abstract mentions this is a ""text"" (book) and references the Mozart Programming System, suggesting the full text is likely accessible, but this is not explicitly confirmed.",Include,"A comprehensive theoretical exploration of programming paradigms that systematically examines fundamental language design principles through a unified, mathematically rigorous framework. The work presents a sophisticated analysis of computational models, kernel languages, and their deep interrelationships, demonstrating strong theoretical contributions across multiple programming paradigms. Its approach emphasizes precise, abstract machine-based definitions and comparative theoretical analysis of programming constructs.",4.6
Gamma and the chemical reaction model : fteen years after ?,"J. Banâtre, Pascal Fradet",-,-,-,5,2003,yes,"The paper analyzes fundamental programming language constructs at a theoretical level, including basic computation models and programming paradigms.",yes,"The paper presents Gamma as a formalism with clear mathematical foundations, using chemical reaction metaphors and formal definitions of program execution.",yes,"The paper explicitly examines programming paradigm foundations, comparing Gamma's approach to traditional sequential programming paradigms and discussing fundamental differences in programming style.",yes,"The paper explicitly discusses fundamental design principles of the Gamma programming language, including orthogonality and minimalism. It specifically mentions the ""very minimal nature"" of the language and how it avoids ""artificial sequentiality.""",yes,The paper presents a formal theoretical foundation based on chemical reaction models and provides mathematical definitions of program execution and transformation.,yes,"While implementation aspects are discussed, they serve to support the theoretical contributions rather than being the primary focus.",yes,"The paper focuses on theoretical contributions to programming language design and paradigm theory, rather than practical implementations or educational aspects.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The full text of the paper is likely accessible, as it appears to be a formal academic publication, though this cannot be definitively determined from the abstract alone.",Include,"The paper presents a rigorous theoretical exploration of the Gamma programming language, focusing on fundamental design principles, paradigm theory, and mathematical frameworks for computational modeling. It provides a comprehensive analysis of programming language constructs through a chemical reaction metaphor, demonstrating strong theoretical contributions to understanding computational paradigms. The study meets multiple screening criteria by offering a formal, theoretically-grounded examination of programming language foundations.",4.9
Concepts and paradigms of object-oriented programming,P. Wegner,10.1145/382192.383004,https://doi.org/10.1145/382192.383004,OOPS,515,1990,yes,"The paper provides a fundamental analysis of OOP's basic nature, goals, and computational models.",yes,"The paper includes ""formal computational models"" and ""mathematical models,"" indicating the use of a formal mathematical framework or rigorous verification approach.",yes,"The paper explicitly focuses on examining programming paradigms, including OOP's foundations and future directions, meeting this criterion.",yes,"The paper explicitly examines ""language design alternatives"" and discusses fundamental principles of OOP, meeting this criterion.",yes,"The paper has a strong theoretical foundation through its discussion of formal models and mathematical frameworks, though the abstract notes making these ""accessible to nonmathematical readers.""",yes,The paper's discussion of implementation or tools serves to support broader theoretical contributions rather than focusing solely on practical aspects.,yes,"The paper appears primarily theoretical, examining fundamental questions about OOP's nature, goals, and foundations rather than practical aspects.",yes,"The paper is written in English, meeting this criterion.",maybe,"The full text of the paper is likely accessible, as it is an OOPSLA keynote talk, though this cannot be confirmed from the abstract alone.",Include,"This research comprehensively explores object-oriented programming through a rigorous theoretical lens, examining its fundamental principles, paradigms, and computational models with a strong emphasis on mathematical and formal frameworks. The study provides an in-depth analysis of programming language design, theoretical foundations, and paradigmatic evolution, demonstrating a sophisticated approach to understanding computational constructs beyond practical implementation.",4.9
"Defining, analyzing, and transforming program constructs","Jingke Le, M. Wolfe",10.1109/88.281872,https://doi.org/10.1109/88.281872,IEEE Parallel & Distributed Technology Systems & Applications,5,1994,yes,"The paper analyzes fundamental programming language constructs (control constructs) at a theoretical level, examining their behavior and relations.",yes,"The abstract mentions ""well-founded semantic structure"" and ""well-known dependence analysis techniques,"" suggesting a formal mathematical framework. The focus on semantic analysis indicates rigorous verification approaches.",yes,"The paper explicitly addresses programming paradigms, noting that it's ""not confined to a single programming paradigm"" and discusses how different constructs interact.",yes,"The paper discusses fundamental design principles for control constructs and their interactions, particularly focusing on orthogonality (""nest in a very general way"") and minimality (""simple yet powerful scheme""), strongly meeting this criterion.",yes,"The paper presents a theoretical framework for analyzing control constructs and their interactions, with clear mathematical foundations (""well-founded semantic structure"").",yes,"While implementation is discussed (compiler implementation, optimization), it serves to support the theoretical framework rather than being the primary focus.",yes,"The paper makes clear theoretical contributions to understanding control constructs and their interactions, rather than focusing solely on practical aspects.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",Include,"A comprehensive theoretical framework exploring programming language control constructs across multiple paradigms, demonstrating rigorous mathematical foundations and semantic analysis. The research provides a well-structured approach to understanding language design principles, with a focus on theoretical contributions that transcend practical implementation considerations. By examining fundamental computational primitives and their interactions, the study offers a sophisticated analysis of programming language constructs.",4.9
A logical theory of concurrent objects and its realization in the Maude language,J. Meseguer,10.7551/mitpress/2087.003.0017,https://doi.org/10.7551/mitpress/2087.003.0017,-,304,1993,yes,"The paper strongly meets this criterion by analyzing fundamental programming language constructs at a theoretical level, particularly focusing on concurrent object-oriented computation and its logical foundations.",yes,"The paper very strongly meets this criterion by presenting rewriting logic as a formal mathematical framework for analyzing programming language properties, specifically for concurrent object-oriented computation.",yes,"The paper strongly meets this criterion by examining and comparing multiple programming paradigms (functional, relational, and concurrent object-oriented) and providing theoretical analysis of their unification.",yes,"The paper strongly meets this criterion by presenting fundamental design principles for concurrent object-oriented programming through rewriting logic, including structural axioms of associativity, commutativity, and identity.",yes,"The paper strongly meets this criterion by presenting a ""new theory of concurrent objects"" based on rewriting logic and providing formal semantic frameworks.",yes,"The paper meets this criterion well by discussing the Maude language implementation, which serves to support and demonstrate the theoretical contributions rather than being the primary focus.",yes,The paper very strongly meets this criterion by presenting new theoretical foundations and semantic frameworks rather than focusing on practical implementations.,yes,"The paper is written in English, meeting the publication language criterion.",maybe,"While the full-text accessibility cannot be determined from the abstract alone, the technical nature and academic context of the paper suggest it is likely accessible through academic channels.",Include,"This research presents a rigorous theoretical framework for concurrent object-oriented programming, grounded in rewriting logic and offering a comprehensive semantic approach to programming language design. The study provides a deep theoretical analysis of programming paradigms, examining fundamental computational constructs through a formal mathematical lens and proposing novel unification of functional, relational, and concurrent object-oriented programming principles. By developing a new language (Maude) and exploring its theoretical foundations, the research makes significant contributions to understanding programming language design at a fundamental level.",4.9
Reconstruction of paradigm shifts,"R. Lämmel, G. Riedewald",-,-,-,12,1999,yes,"The paper analyzes fundamental language constructs through formal meta-programming and examines core concepts in programming language design, meeting the fundamental analysis criterion.",yes,"The paper presents a ""generic and formal approach"" and discusses formal analysis of meta-programs, including ""preservation properties,"" meeting the formal framework criterion.",yes,"The paper explicitly discusses the declarative paradigm and compares different frameworks (attribute grammars, natural semantics, algebraic specification), meeting the paradigm theory criterion.",yes,"The paper explicitly discusses orthogonality in language design and formal reconstruction of language concepts, directly addressing the language design principles criterion.",yes,"The paper is built on formal theoretical foundations, including attribute grammars, natural semantics, and algebraic specification, meeting the theoretical foundation criterion.",yes,"While implementation is mentioned (""implemented in the specification framework of Λ∆Λ""), it serves to support the theoretical contributions rather than being the primary focus, meeting the implementation focus criterion.",yes,"The paper focuses on theoretical contributions, presenting a formal framework for analyzing and reconstructing language concepts, meeting the theoretical contribution criterion.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The technical nature and implementation details of the paper suggest it is likely an academic paper with accessible full text, though this cannot be determined from the abstract alone.",Include,"A rigorous theoretical exploration of programming language design principles, focusing on formal meta-programming frameworks and orthogonal reconstruction of language concepts across multiple paradigms. The study presents a comprehensive approach to analyzing fundamental computational constructs through mathematical frameworks, with strong emphasis on theoretical foundations and paradigmatic analysis. Its technical depth and systematic examination of language design principles demonstrate a sophisticated contribution to programming language theory.",4.9
"Confluence: The Unifying, Expressive Power of Locality","Jiaxiang Liu, J. Jouannaud",10.1007/978-3-642-54624-2_17,https://doi.org/10.1007/978-3-642-54624-2_17,"Specification, Algebra, and Software",6,2014,yes,"The abstract indicates analysis of fundamental programming language constructs through its discussion of lambda-calculus and rewriting systems, meeting this criterion.",maybe,"The abstract mentions formal elements like lambda-calculus and rewriting systems, suggesting a formal mathematical framework, though the depth of formal analysis isn't entirely clear from the abstract.",yes,"The abstract explicitly focuses on comparing and analyzing different programming paradigms (imperative, functional, logic, object-oriented, concurrent, distributed) and their theoretical foundations, strongly meeting this criterion.",yes,"The abstract discusses different programming paradigms and their foundations, including lambda-calculus and rewriting systems, which are fundamental design principles, suggesting this criterion is met.",yes,"The abstract indicates theoretical foundations through its discussion of lambda-calculus, typed lambda-calculus, and rewriting systems, suggesting a strong theoretical basis.",yes,"The abstract doesn't focus on implementation details, instead emphasizing theoretical aspects, meeting this criterion.",yes,"The abstract suggests a theoretical focus on analyzing and comparing programming paradigms rather than practical aspects, meeting this criterion.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,The full-text accessibility of the paper cannot be determined from the abstract alone.,Include,"The abstract demonstrates a robust theoretical exploration of programming language paradigms, with strong emphasis on fundamental design principles, lambda-calculus, and comparative analysis across different programming approaches. Its focus on theoretical foundations, paradigm comparisons, and formal mathematical frameworks suggests significant alignment with rigorous research criteria. The text provides a comprehensive overview of programming language evolution through a theoretical lens, examining multiple paradigms and their underlying computational principles.",4.6
A minimalist two-level foundation for constructive mathematics,M. Maietti,10.1016/j.apal.2009.01.006,https://doi.org/10.1016/j.apal.2009.01.006,Annals of Pure and Applied Logic,82,2008,yes,"The paper analyzes fundamental constructs through type theory and set theory, examining basic mathematical and computational foundations.",yes,"The paper presents a ""two-level theory"" with formal type theory and set theory components, including a ""quotient model"" for interpretation, providing strong evidence of the use of a formal mathematical framework.",yes,"The paper explicitly connects to the ""proofs-as-programs"" paradigm and discusses programming language foundations, meeting the paradigm theory criterion.",yes,"The paper discusses Minimal type theory, which directly relates to the minimality design principle. The focus on ""minimal among the most relevant foundations"" suggests attention to fundamental design principles.",yes,"The paper has a clear theoretical foundation with formal type theory and set theory components, including constructive mathematics foundations.",maybe,"The paper appears to focus on theoretical foundations rather than implementation details, though it mentions programming language aspects in a theoretical context.",yes,"The paper is strongly theoretical, focusing on formal foundations and mathematical frameworks rather than practical applications, meeting the theoretical contribution criterion.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",Include,"A rigorous theoretical exploration of constructive mathematics through a two-level type theory framework, demonstrating strong alignment with programming language design principles and paradigm theory. The study presents a formal mathematical approach to understanding computational foundations, with explicit connections to the ""proofs-as-programs"" paradigm and minimal theoretical constructs. Its theoretical depth and focus on fundamental programming language principles make it highly relevant to systematic review criteria.",4.9
Structural Recursion as a Query Language,"V. Tannen, P. Buneman, S. Naqvi",-,-,International Workshop/Symposium on Database Programming Languages,182,1992,yes,"The paper analyzes fundamental programming language constructs, particularly focusing on structural recursion, type systems, and computational primitives at a theoretical level.",yes,"The paper clearly uses formal mathematical frameworks, specifically mentioning lambda calculus and relational algebra. It discusses total maps and formal type systems, indicating a rigorous mathematical approach.",yes,"The paper directly examines programming paradigms, proposing a new paradigm that bridges relational algebra and unrestricted programming languages. It provides comparative theoretical analysis between different paradigms.",yes,"The paper explicitly discusses programming paradigm design principles, particularly focusing on structural recursion and type systems. It aims to balance semantic simplicity with expressive power, which relates to fundamental design principles.",yes,"The paper has a strong theoretical foundation through its use of lambda calculus, relational algebra, and formal type systems. The paper appears to be heavily theoretical in nature.",yes,"The paper balances theoretical and implementation aspects, with implementation considerations serving to support the theoretical framework rather than being the primary focus.",yes,"The paper makes clear theoretical contributions, focusing on fundamental properties of programming paradigms and their expressive power. While it mentions optimization, this appears to be secondary to the theoretical contributions.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"While the full-text accessibility cannot be determined from the abstract alone, the presence of citations suggests this is likely an academic paper that would be accessible through standard channels.",Include,"This research presents a rigorous theoretical exploration of programming paradigms, utilizing formal mathematical frameworks like lambda calculus and relational algebra to analyze computational constructs. The study offers a novel approach to programming language design, balancing semantic simplicity with expressive power while maintaining a strong theoretical foundation across multiple computational dimensions. Its comprehensive examination of structural recursion, type systems, and paradigm foundations demonstrates a sophisticated theoretical contribution to programming language research.",4.9
Mathematical Theory of Computation,J. McCarthy,10.21236/ada239419,https://doi.org/10.21236/ada239419,-,371,1991,yes,"The paper analyzes fundamental programming language constructs (functions, control, assignment, process) at a theoretical level, strongly meeting the fundamental analysis criterion.",yes,"The paper explicitly focuses on ""logical formalisms"" and ""semantic framework"" for reasoning about programs, strongly meeting the formal framework criterion.",yes,"The paper mentions ""clarification of existing programming paradigms"" and analysis of programming languages, meeting the paradigm theory criterion.",maybe,"The paper discusses higher-order abstractions and their semantic framework, which relates to fundamental design principles, though it does not explicitly address orthogonality or minimality.",yes,"The paper develops ""logics for reasoning"" about various programming concepts, indicating a strong theoretical foundation.",yes,"While implementation tools are mentioned, they serve to support the theoretical framework rather than being the primary focus, meeting the implementation focus criterion.",yes,"The focus of the paper is clearly on theoretical contributions through logical formalisms and semantic frameworks, rather than practical aspects, strongly meeting the theoretical contribution criterion.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The full text of the paper is likely accessible, as it appears to be a formal research project, suggesting it would be available through university libraries, author websites, or public archives.",Include,"This research project presents a rigorous theoretical investigation of programming language constructs through logical formalisms and semantic frameworks, focusing on fundamental abstractions and reasoning methodologies. The study demonstrates strong alignment with theoretical research criteria by developing formal approaches to analyzing programming paradigms, language properties, and computational primitives. Its comprehensive examination of higher-order abstractions and logical reasoning techniques provides a substantive contribution to theoretical understanding of programming language foundations.",4.9
